note,category
Neurologic complications of alcoholism...,Nervous system diseases
Ultra short-acting intravenous beta-adrenergic blockade as add-on therapy in acute unstable angina...,Cardiovascular diseases
Nasal midline masses in infants and children...,Neoplasms
Accelerated arteriosclerosis in heart transplant recipients...,Cardiovascular diseases
Blood transfusion and recurrence of colorectal cancer...,Neoplasms
Milk protein enteropathy after acute infectious gastroenteritis...,Digestive system diseases
Modification of stroke susceptibility by genotype-dependent maternal influences...,Nervous system diseases
Light scattering detection of microemboli in an extracorporeal LVAD bovine model...,Cardiovascular diseases
Eosinophilia-myalgia syndrome (L-tryptophan-associated neuromyopathy)...,Nervous system diseases
Etoposide in the management of non-small cell lung cancer...,Neoplasms
