note,category
Human leukoagglutinating antibody evokes cooperative leukotriene synthesis in pulmonary microvasculature...,general pathological conditions
Fasciculations due to verapamil in a patient with neuropathy...,nervous system diseases
Colonic motor activity in acute colitis in conscious dogs...,digestive system diseases
Proximal esophageal pH-metry in patients with 'reflux laryngitis'...,digestive system diseases
Characterization of spontaneous termination of sustained ventricular tachycardia associated with coronary artery disease...,cardiovascular diseases
Radiosurgery of acoustic neurinomas...,neoplasms
Long-term potentiation of electrotonic coupling at mixed synapses...,nervous system diseases
Evidence for platelet-activating factor as a novel mediator in experimental stroke in rabbits...,nervous system diseases
Follow-up results of balloon angioplasty of native coarctation in neonates and infants...,cardiovascular diseases
Carcinoma of the vulva. Clinicopathologic factors involved in inguinal and pelvic lymph node metastasis...,neoplasms
