note,category
Sexual behavior before AIDS: the hepatitis B studies of homosexual and bisexual men...,general pathological conditions
Genetics of common diseases of adulthood. Implications for prenatal counseling and diagnosis...,general pathological conditions
Colonic stenoses: use of oral barium when retrograde flow is completely obstructed on barium enema studies...,digestive system diseases
Human tumor necrosis factor alpha gene regulation by virus and lipopolysaccharide...,general pathological conditions
Use of a knee-brace for control of tibial translation and rotation...,general pathological conditions
Surgical management of nonparasitic cystic liver disease...,digestive system diseases
Cerebral tumor staging in patients with bronchial carcinoma by computed tomography...,neoplasms
Candida pyelonephritis complicating traumatic C5 quadriplegia: diagnosis and management...,nervous system diseases
Assessment of Proplast-Teflon disc replacements...,general pathological conditions
Effects of intravenous immunoglobulin on hemorrhage-induced alterations in plasma cell repertoires...,general pathological conditions
