note,category
Effects of treadmill exercise to exhaustion on the insulin response to hyperglycemia in untrained men.,general pathological conditions
Can nurses perform surgical cricothyrotomy with acceptable success and complication rates?,general pathological conditions
Direct extension of laryngeal carcinoma to the skin of the neck.,neoplasms
Laryngeal metastasis from colonic adenocarcinoma.,neoplasms
Gene rearrangements in the diagnosis of lymphoma/leukemia.,neoplasms
Young-onset Parkinson's disease: a clinical review.,nervous system diseases
Long-term impact of smoking cessation on the incidence of coronary heart disease.,cardiovascular diseases
The role of carotid screening before coronary artery bypass.,cardiovascular diseases
Prognostic significance of valvular regurgitation in patients with infective endocarditis.,cardiovascular diseases
Survival in patients with large-bowel cancer.,neoplasms
