note,category
Studies of myocardial protection in the immature heart...,cardiovascular diseases
Core temperature measurement in hypovolemic resuscitation...,general pathological conditions
Magnetic resonance imaging of facial nerve neuromas...,neoplasms
Protection from chemotherapy-induced alopecia in a rat model...,general pathological conditions
A phase II clinical trial of carboplatin infusion in high-risk acute nonlymphoblastic leukemia...,neoplasms
Coronary flow and mental stress. Experimental findings...,cardiovascular diseases
Diagnosis of chronic abacterial prostato-vesiculitis by rectal ultrasonography...,general pathological conditions
Predictors of cardiac survival after percutaneous transluminal coronary angioplasty...,cardiovascular diseases
Arrhythmias in patients with CHF. Should they be treated?,cardiovascular diseases
Two distinct loci on chromosome 16 involved in myeloid leukemia...,neoplasms
