note,category
Restenosis after directional coronary atherectomy...,cardiovascular diseases
Squamous cell carcinomas often produce more than a single bone resorption-stimulating factor...,neoplasms
Ventricular ectopy: significance and management.,cardiovascular diseases
Perforin-mediated myocardial damage in acute myocarditis.,cardiovascular diseases
Parkinsonian tremor loses its alternating aspect during non-REM sleep and is inhibited by REM sleep.,nervous system diseases
Intestinal pseudoobstruction secondary to amyloidosis responsive to cisapride.,digestive system diseases
"Late effects of paralytic poliomyelitis in Olmsted County, Minnesota.",nervous system diseases
New concepts in the treatment of stage D1 adenocarcinoma of the prostate.,neoplasms
Palliative operations for colorectal cancer.,neoplasms
Lung lobe torsion following lobectomy.,general pathological conditions
