note,category
Tilt test for diagnosis of unexplained syncope in pediatric patients...,cardiovascular diseases
Clinical and hemodynamic correlates of sympathetic nerve activity in normal humans and patients with heart failure...,cardiovascular diseases
Histologic evaluation of the width of soft tissue necrosis adjacent to carbon dioxide laser incisions...,general pathological conditions
Impact of nonoperative therapy on the clinical management of peripheral arterial disease...,cardiovascular diseases
"Effects of repeated temporary clipping of the middle cerebral artery on pial arterial diameter, regional cerebral blood flow, and brain structure in cats...",nervous system diseases
Parathyroid hormone and cirrhosis of the liver...,digestive system diseases
Analysis of programmed stimulation methods in the evaluation of ventricular arrhythmias in patients 20 years old and younger...,cardiovascular diseases
Upper tract tumours following cystectomy for bladder cancer...,neoplasms
Effect of nimodipine on acute ischemic stroke...,nervous system diseases
Anorectal malignant melanoma in Sweden...,neoplasms
