note,category
Salvage from cardiogenic shock by atherectomy after failed emergency coronary artery angioplasty.,cardiovascular diseases
Immunopathology of diabetes in the RT6-depleted diabetes-resistant BB/Wor rat.,general pathological conditions
Use of plasmid profiles in the investigation of a patient with Helicobacter pylori infection and peptic ulcer disease.,digestive system diseases
Remission induction and continuation therapy in children with their first relapse of acute lymphoid leukemia.,neoplasms
Prevalence of ulcerative colitis in the Israeli kibbutz population.,digestive system diseases
"Medical treatment of esophageal achalasia. Double-blind crossover study with oral nifedipine, verapamil, and placebo",digestive system diseases
The human immunodeficiency virus type 2 vpr gene is essential for productive infection of human macrophages.,general pathological conditions
A limited diagnostic investigation for obstructive sleep apnea syndrome.,general pathological conditions
Retroviral transduction of protein kinase C-gamma into cytotoxic T lymphocyte clones leads to immortalization with retention of specific function.,general pathological conditions
Immediate and follow-up results of balloon angioplasty of postoperative recoarctation in infants and children.,cardiovascular diseases
