note,category
Parathyroidectomy in chronic renal failure: a nine-year follow-up study.,general pathological conditions
Effect of aortic sclerosis on bone mineral measurements by dual-photon absorptiometry.,cardiovascular diseases
Angiocentric lymphoma with histologic features of neoplastic angioendotheliomatosis presenting with predominant respiratory and hematologic manifestations.,neoplasms
Limitations of electroencephalographic monitoring in the detection of cerebral ischemia accompanying carotid endarterectomy.,nervous system diseases
The internist in the management of head and neck cancer.,neoplasms
Redevelopment of hepatitis B surface antigen after renal transplantation.,digestive system diseases
The pathology of heart allograft rejection.,cardiovascular diseases
Heterotopic tissue in lymph nodes. An unrecognized problem.,general pathological conditions
The Hastings bipolar hemiarthroplasty for subcapital fractures of the femoral neck. A 10-year prospective study.,general pathological conditions
Achalasia in the elderly. Effects of aging on clinical presentation and outcome.,digestive system diseases
