note,category
Inflammatory abdominal aortic aneurysms. In a series of 517 operations...,cardiovascular diseases
When is polypectomy sufficient treatment for colorectal cancer in a polyp?...,neoplasms
Hypersensitivity reactions to epipodophyllotoxins in children with acute lymphoblastic leukemia...,neoplasms
Ultrastructural changes in impotent penile tissue: a comparison of 65 patients...,general pathological conditions
Omeprazole in H2 receptor antagonist-resistant reflux esophagitis...,digestive system diseases
Spontaneous sump syndrome: Successful treatment by duodenoscopic sphincterotomy...,digestive system diseases
Low metastatic potential of clone from murine colon adenocarcinoma 26...,neoplasms
Management of mycotic rupture of the ascending aorta after heart-lung transplantation...,cardiovascular diseases
Treatment of renal cell carcinoma by extracorporeal partial nephrectomy...,neoplasms
Intravascular ultrasound imaging of human coronary arteries in vivo...,cardiovascular diseases
