note,category
Paf-acether synthesis by Helicobacter pylori...,digestive system diseases
Isolation of sequences that span the fragile X...,nervous system diseases
Cirrhosis and portal hypertension in a patient with adult Niemann-Pick disease...,digestive system diseases
Acute upper gastrointestinal bleeding in elderly persons...,digestive system diseases
Regurgitation of fat and marrow emboli into coronary veins during resuscitation...,cardiovascular diseases
Role of tolerance in cloxacillin treatment of experimental Staphylococcus aureus endocarditis...,cardiovascular diseases
Assessment of myocardial perfusion in patients after the arterial switch operation...,cardiovascular diseases
Evaluating tooth eruption on sealant efficacy...,general pathological conditions
Gynecomastia. A bothersome but readily treatable problem...,general pathological conditions
Carotid artery disease in patients with head and neck carcinoma...,cardiovascular diseases
