note,category
Diagnostic significance of carcinoembryonic antigen in the differential diagnosis of malignant mesothelioma.,neoplasms
Pathophysiological aspects of edema formation in diabetic nephropathy.,general pathological conditions
Retroperitoneal lymph node dissection in malignant mesothelioma of tunica vaginalis testis.,neoplasms
"Age, sex, and road-use patterns of motor vehicular trauma in Rhode Island.",general pathological conditions
Thirty-year follow-up of superior vena cava–pulmonary artery (Glenn) shunts.,cardiovascular diseases
The abdominal trauma index--a critical reassessment and validation.,general pathological conditions
"Regulation of insulin, epidermal growth factor, and transforming growth factor-alpha levels by growth factor-degrading enzymes.",general pathological conditions
Bipolar hemiarthroplasty for subcapital fracture of the femoral neck.,general pathological conditions
Mobile knee reconstructions after resection of malignant tumors of the distal femur.,neoplasms
The relationship of high‑risk mammographic patterns to histological risk factors for breast cancer.,neoplasms
