note,category
Endoscopic cholangiopancreatography in hepatic clonorchiasis--a follow-up study.,digestive system diseases
Primary CT diagnosis of abdominal masses in a PACS environment,general pathological conditions
Recurrent tension headache in adolescents treated with self-help relaxation training and a muscle relaxant drug.,nervous system diseases
Gallium-67 imaging in retroperitoneal fibrosis: significance of a negative result.,general pathological conditions
Coronary angioplasty after coronary bypass surgery: initial results and late outcome in 422 patients.,cardiovascular diseases
Effects of inosine on glycolysis and contracture during myocardial ischemia.,cardiovascular diseases
Modulation of N-nitrosomethylurea-induced mammary tumor promotion by dietary fiber and fat.,neoplasms
Anticardiolipin antibodies: a study of frequency in TIA and stroke.,nervous system diseases
When is echocardiography unreliable in patients undergoing catheterization for pediatric cardiovascular disease?,cardiovascular diseases
Immunosuppressive therapy in the management of acute myocarditis in children: a clinical trial.,cardiovascular diseases
