note,category
Is caffeine withdrawal the mechanism of postoperative headache? ...,nervous system diseases
Anterior perforations in lumbar discectomies. ...,nervous system diseases
Association between primary pulmonary hypertension and portal hypertension. ...,cardiovascular diseases
Chemotherapy-related hemolytic-uremic syndrome after the treatment of head and neck cancer. ...,neoplasms
Chest infection following head and neck surgery: a pilot study. ...,general pathological conditions
Cemented and ingrowth fixation of the Miller-Galante prosthesis. ...,general pathological conditions
Transrectal ultrasonography of rectal carcinoma. ...,neoplasms
Hemiparkinsonism as a complication of an Ommaya reservoir. ...,nervous system diseases
Induction of DNA fragmentation in chronic B-lymphocytic leukemia cells. ...,neoplasms
"Renal replacement treatment for diabetic patients in Newcastle upon Tyne and the Northern region, 1964-88. ...",general pathological conditions
