note,category
Endoscopic variceal ligation in patients who have failed endoscopic sclerotherapy...,digestive system diseases
X-linked sideroblastic anemia and ataxia: linkage to phosphoglycerate kinase at Xq13...,nervous system diseases
Brain microemboli during cardiac surgery or aortography...,cardiovascular diseases
Stage IV neuroblastoma in infants. Long-term survival...,neoplasms
"Structure, expression and function of a schwannoma-derived growth factor...",nervous system diseases
Postoperative myocardial ischemia in patients undergoing coronary artery bypass graft surgery...,cardiovascular diseases
"Cathepsins D and E in normal, metaplastic, dysplastic, and carcinomatous gastric tissue...",neoplasms
Neurological sequelae of cerebral malaria in children...,nervous system diseases
Environmental risk factors in siblings with Parkinson's disease...,nervous system diseases
Hemangiopericytoma of the sternum...,neoplasms
