note,category
Persistence and remission of depressive symptoms in late life.,nervous system diseases
Human atherosclerotic coronary artery xenografts: a model for investigation of transluminal recanalization.,cardiovascular diseases
Intraoperative monitoring of the facial nerve during decompressive surgery for hemifacial spasm.,nervous system diseases
Natural history of moderate aortic stenosis.,cardiovascular diseases
Etoposide in leukemia.,neoplasms
Living arrangements and sources of caregiving.,general pathological conditions
Laparoscopic cholecystectomy: report of 82 cases.,digestive system diseases
Primary malignant lymphoma of the bladder.,neoplasms
Ligation of the superficial femoral vein in prevention of pulmonary embolism.,cardiovascular diseases
Inhibition of angiogenesis and tumor growth in the brain.,neoplasms
