note,category
New angiotensin converting enzyme inhibitors. Their role in the management of hypertension.,cardiovascular diseases
Reappraisal of surgical treatment of traumatic transection of the thoracic aorta.,cardiovascular diseases
Protecting the vasculature: an eye toward the future.,cardiovascular diseases
Impaired pressor reactivity in cirrhosis: evidence for a peripheral vascular defect.,digestive system diseases
A community-based study of acute respiratory tract infection in Thai children.,general pathological conditions
Therapy of diseased stroke-prone spontaneously hypertensive rats with nimodipine.,cardiovascular diseases
Effects of vagal stimulation on experimentally induced seizures in rats.,nervous system diseases
Segmental vascular resistance in postobstructive pulmonary vasculopathy.,general pathological conditions
Widespread functional effects of discrete thalamic infarction.,nervous system diseases
Proximal esophageal pH-metry in patients with 'reflux laryngitis'.,digestive system diseases
