note,category
Effect of nicardipine on somatosensory evoked potentials in acute cerebral infarction.,nervous system diseases
Modulatory action of adenosine on gastric function and ethanol-induced mucosal damage.,digestive system diseases
Pancreatic response to percutaneous biliary drainage.,digestive system diseases
Laparoscopic cholecystectomy using intracorporeal lithotripsy.,digestive system diseases
Obstruction of mechanical heart valve prostheses.,cardiovascular diseases
Factors affecting the enterohepatic circulation of oral contraceptive steroids.,digestive system diseases
Bacterial or viral meningitis? Measuring lactate in CSF.,nervous system diseases
Papanicolaou testing and stage at diagnosis of cervical cancer.,neoplasms
Acute myocardial infarction and chest pain syndromes after cocaine use.,cardiovascular diseases
Yersinia enterocolitica abscess of the transverse colon.,digestive system diseases
