note,category
Effect of V1-vasopressin receptor blockade on arterial pressure in conscious rats with cirrhosis and ascites...,digestive system diseases
Clinical evaluation of a side entry access port: a novel dual-lumen venous access device...,neoplasms
Variable expression of Parkinson's disease: a base-line analysis of the DATATOP cohort...,nervous system diseases
Increase of calmodulin activator in hypertension...,cardiovascular diseases
Management of subglottic stenosis in the adult...,general pathological conditions
Multiple myeloma and acute megakaryoblast leukemia in spent phase polycythemia vera...,neoplasms
Mitral valve repair by replacement of chordae tendineae with polytetrafluoroethylene sutures...,cardiovascular diseases
Association of bcl-1 rearrangements with lymphocytic lymphoma of intermediate differentiation...,neoplasms
Discontinuation of antiepileptic drugs in children who have outgrown epilepsy: effects on cognitive function...,nervous system diseases
Endometrial ablation for the treatment of menorrhagia...,general pathological conditions
