note,category
Species-dependent effects of adenosine on heart rate and atrioventricular nodal conduction.,cardiovascular diseases
Glucose intolerance and hyperinsulinemia of cirrhosis are not results of spontaneous or surgical portosystemic shunting.,digestive system diseases
Glucose tolerance and blood pressure: long term follow up in middle aged men.,cardiovascular diseases
Screening for neuroblastoma at 3 weeks of age.,neoplasms
Hemodynamic effects of lobar pulmonary artery occlusion in a porcine sepsis model.,cardiovascular diseases
Intraoperative echocardiography of a dislodged Bjork-Shiley mitral valve disc.,cardiovascular diseases
Transcranial Doppler in acute hemispheric brain infarction.,nervous system diseases
Epilepsy.,nervous system diseases
Radioimmunoguided surgery in laparotomy for colorectal cancer.,neoplasms
Hemifacial spasm in Rochester and Olmsted County.,nervous system diseases
