note,category
Effect of activity on supraventricular tachyarrhythmias after coronary artery bypass surgery.,cardiovascular diseases
Deficiency of complex III of the mitochondrial respiratory chain in a patient with facioscapulohumeral disease.,nervous system diseases
Effect of hydralazine on the mesenteric vasculature of hypertensive rats.,cardiovascular diseases
Interleukin-2-induced lung permeability is mediated by leukotriene B4.,general pathological conditions
The incidence and prognostic significance of humoral hypercalcemia in renal cell carcinoma.,neoplasms
Septic arthritis of the C1-C2 lateral facet joint and torticollis: pseudo-Grisel's syndrome.,nervous system diseases
Experiential phenomena of temporal lobe epilepsy.,nervous system diseases
Acute water intoxication as a complication of urine drug testing in the workplace.,general pathological conditions
Biobehavioral factors in Cardiac Arrhythmia Pilot Study (CAPS).,cardiovascular diseases
Limitation of transcatheter arterial chemoembolization using iodized oil for small hepatocellular carcinoma.,neoplasms
