note,category
Genital herpes simplex virus infections.,general pathological conditions
Doppler echocardiographic assessment of the St. Jude Medical prosthetic valve.,cardiovascular diseases
Experimental study of starch-induced intraperitoneal adhesions.,general pathological conditions
Colonoscopic fine needle aspiration cytology in ileocecal tuberculosis.,digestive system diseases
Epidemic outbreak of cryptosporidiosis in Guinea Bissau.,digestive system diseases
Hydromyelic hydrocephalus with associated hydrocephalus.,nervous system diseases
Hepatobiliary function imaging with technetium-99m-mebrofenin.,digestive system diseases
Devazepide enhancement of morphine-induced analgesia.,general pathological conditions
Anatomical basis of the caecocentral scotoma.,nervous system diseases
Iliac artery stenosis and occlusion treated with metallic stents.,cardiovascular diseases
